"","num","title","content"
"79",124,"Estj 인구수 2등인 이유","일단 본인은 엣팁이고Mbti조사에서 엣티제가 2등인게 이해안되서 자료 찾아봤음(실제 내주위에 엣티제가 없어서 의아했음)그때 자료표 보니까 2004년 자료임지금은 엣티제 소수일거고그때랑 다른 이유는 인터넷발달 때문임인터넷이랑 맛폰 대중화되면서E -> i 로 (밖에 나가서 안놀아도 할거많으니 히키로)J -> p로(좀더 무계획적 충동적 )성향들이 많이 변했을거임저때도 인터넷 있긴 했지만저 검사한 성인들은 이미 인터넷 영향전에성격형성 끝났을거임내 분석력 ㅍㅌㅊ?"
"80",125,"엣티제 성실하게 사는건 좋은데","남한테 계속 뭐라하는게 문제야"
"81",126,"estj들이 복수심 가지면 장난아닌듯 ","그것도 매우 교묘하고 천천히 목조르면서복수하는 스타일인듯....ㅎ소녀시대 제시카가 소설낸거보니까나는 이해가 감ㅎㅎ나 전회사에서 나괴롭혔던 사수 불법행위들..나 퇴사할때 인사라도 해줬으면 용서했을지 모르는데다 기억하고 있다가 퇴사하고 바로...는 아니고그 인간 새로 이직했을때그회사에 낯낯히 익명으로 메일보내고그전 불법행위들 신고했음ㅎㅎㅎ사수는 그회사 짤렸고 나는 안부문자로 요즘잘지내세요?^^문자보냈지...ㅎㅎ estj 건드리지마라 웃고있지만 삔또상하면 실질적이고매우 구체적으로 복수한다"
"82",127,"너넨 ISFP 어떰?","내 주변에는 ESTJ 없는 거 같은데 너네 성격이나 말하는 거 보니까 개빡셀 듯.."
"83",128,"Tmi","급식인데 우리반에 공부존나잘하는 엣티제새끼가 인팁애 좋아하는 것 같다눈에 딱 보임 말 존나 걸고 아침에 등교할 때마다 인사함그냥 그렇다고"
"84",130,"estj들은 모르는거 생기면 어떡해?","가끔 네이버 (공식사이트,지식in,블로그,카페 등등) 에 검색해봐도 안나오는 것들 있잖아?나온다 하더라도 사람들 말이 다 다르거나 신뢰성이 떨어지거나..하는 경우도 있고.나는 네이버에 검색해봐도 안나오는걸 찾다보니 디시인사이드 사이트 알게된거거든..근데 estj갤러리는 다른 mbti갤러리에 비해 게시글 수도 현저히 적고, 그나마 있는 게시글도 estj가 아닌 다른 유형의 사람들이 올린 글이 많더라고.estj가 애초에 커뮤니티를 잘 안해서 그런 것 같은데..그렇다면 estj들은 이런 경우에 어떤 방법으로 정보를 얻는걸까?"
"85",131,"내향 감정 인식형은 전설이다..","역시나 여기 글 3할은 어디서 estj스러운 상사한테 처맞고온 '그' 유형 중에서도 탑급 멍청이들 냄새 나네 ㅋㅋㅋ너희의 I는 introverted 가 아니라 irresponsible, irrational, incompetent라는 걸 알아줬으면 좋겠다꼽주면 현실에선 암말못하고 인터넷 커뮤 에타 이딴데서선민의식 ㅇㅈㄹ하면서 호박씨까겠지 같잖게 ㅋㅋ김어준, 장삐쭈 영상 그만 처 보세요 ~~~ㅇㅇㅇ씨~~~~ㅋㅋㅋ꽁~~해있기만하고 일처리 안바꿀거면 제발 혼자 살아라 인간들아,이딴새-끼들이 어떻게 우리법인을 처기어들어왔노? 진짜로?"
"86",132,"estj 본인 존경하는사람들","퍼거슨 손흥민 아마존 제프베이조스이재명 트럼프 부시전두환전 해군참모총장 황기철서장훈 허재대도서관(정치적성향이나 업적 별상관없음)워렌버핏은 제프베이조스처럼 기업으로 성과를창출하는 CEO가 아니라 걍 오로지 투자 투자..돈밖에 모르는 할배같아서 뭐 나쁘진 않은데 존경까진아님마크주커버그는 관심없고홍정욱은 최근에 실망했고삼성현대 초기회장들은 존경하나 이건희는 별로....두산 엘지 사장 스타일 별로....일론머스크 스티브잡스 극혐임ㅇㅇ"
"87",133,"Estj 부수고 다니는게 취미인 intj임","미안하다 "
"88",135,"내향 감정 인식형 중 극렬진영주의자가 많다는 설에 대한 고찰",""
